chunk_id,technology,source,chunk_index,characters
e65ff336-af6c-4b26-851d-62aaccd3b588,arize_phoenix,official_documentation,7,988
006df74b-5f66-4e9b-a11d-be36cb934b9e,arize_phoenix,official_documentation,8,965
878efa6c-6c93-4aca-9c98-c9bba2da9fd6,arize_phoenix,official_documentation,9,974
96140913-dd87-48b0-894f-60d741c41d64,arize_phoenix,official_documentation,10,924
affba58f-131e-44bb-8c52-416196107f5c,arize_phoenix,official_documentation,11,949
e4e7201d-4347-470a-aa78-79b258243846,arize_phoenix,official_documentation,12,979
24b3cf86-62ee-4d12-9d6d-5fe318b0d683,arize_phoenix,official_documentation,13,835
ccc48419-0bc6-4aec-8d7a-81161329b092,aws_sagemaker,official_documentation,0,897
59854c20-1792-4a8c-83a7-0267df6ede6d,axolotl,github_repository,0,759
8014713e-54b6-4a2b-86a0-9ab401e39db8,axolotl,github_repository,1,872
a4b9f2b3-63f8-46a0-b878-b68ab6e0d198,axolotl,github_repository,2,875
22408615-cf17-4bd9-ad2b-aa84ff90567b,axolotl,github_repository,3,308
c6947f7e-c3b6-480b-b801-d1cb431fb5a1,axolotl,github_repository,4,986
08f31876-195c-424f-a170-582ab2be1778,axolotl,github_repository,5,997
779f9783-06df-4797-9a3b-3968988c0f7e,axolotl,github_repository,6,996
9e9fe548-e600-4d4a-bc59-234921510fe8,axolotl,github_repository,7,979
16fa98c8-e12a-4d98-92bd-63c2bedcb507,axolotl,github_repository,8,982
a596ed2c-7753-43de-9b59-b05c6144364d,axolotl,github_repository,9,891
2b8d46ef-07e2-46a9-b2be-8f83e56475e5,axolotl,github_repository,10,948
1d8c2fd7-6bc2-4e6f-a803-33a03b255064,axolotl,official_documentation,0,759
200a3a0d-b7fc-41a0-b9b3-fa3a32523787,axolotl,official_documentation,1,872
dbfef434-4ecc-4a5b-8e4a-a1324bae5e77,axolotl,official_documentation,2,875
9396d3c4-b4ae-4797-9094-e5f7b3a74b49,axolotl,official_documentation,3,308
4eb7d71c-18ed-4384-a041-c71502cec6b3,axolotl,official_documentation,4,986
fef3cc48-ac9d-4bee-9fc5-122ce92e3c4d,axolotl,official_documentation,5,997
8e170b23-3764-4649-bede-e6aebd57182c,axolotl,official_documentation,6,996
c75f4988-e38d-4250-822c-d34a29c0eabc,axolotl,official_documentation,7,979
e11c49bf-b05b-4bb9-999c-9da3c4b218e5,axolotl,official_documentation,8,982
d1f779eb-d216-4c32-a0a6-f38e97871f28,axolotl,official_documentation,9,891
4ed0971d-fcd0-4cab-8dc8-da8f750b6485,axolotl,official_documentation,10,948
d5185fbe-c7ce-46f7-98cf-53469573ac90,azure_ai_foundry,official_documentation,0,424
a7dc3414-5797-4e2c-81e6-8514a7d72d22,baai_bge_embeddings,benchmark_pages,0,151
5a7cd7d3-4cc9-43ea-b9e1-fe4090a32f05,baai_bge_embeddings,github_repository,0,832
b39a85cb-7f08-4fa6-b61e-50cbac5f57be,baai_bge_embeddings,github_repository,1,930
40f15711-81a4-4287-b122-4e0fb51b048a,baai_bge_embeddings,github_repository,2,856
fd9772a6-b149-4d3e-bc7c-93dfe8ebed8c,baai_bge_embeddings,github_repository,3,888
696f0f6c-093f-406c-a391-cf35bf791b83,baai_bge_embeddings,github_repository,4,957
df2a8b44-1062-47bc-8580-3f31efa06b34,baai_bge_embeddings,github_repository,5,846
55bd78dc-f233-4950-b3cf-f54ef95d46f3,baai_bge_embeddings,github_repository,6,968
0b3461b4-2ad3-4352-9468-caf806988fdd,baai_bge_embeddings,github_repository,7,921
4d1d12c9-400a-4ac3-ad5c-7853e0206f71,baai_bge_embeddings,github_repository,8,978
e530a70c-c591-4c6b-a615-8c4a77754951,baai_bge_embeddings,github_repository,9,915
1eba7fab-f13e-4bf7-93e6-1e7c508965e7,baai_bge_embeddings,github_repository,10,962
03fab581-75b6-48b1-8865-f3113ecc2bad,baai_bge_embeddings,github_repository,11,991
d3972a47-25e8-4a9e-9097-2196ba4575ef,baai_bge_embeddings,github_repository,12,933
acbdf3e5-5a1c-4dfc-959b-e500204fb210,baai_bge_embeddings,github_repository,13,962
c8d8cb36-1cbb-47c2-a2f1-26d3931d286a,baai_bge_embeddings,github_repository,14,929
e4536334-8725-476c-beb2-7a24900ad6db,baai_bge_embeddings,github_repository,15,627
b9f7ed7e-cbc2-4ae7-8e14-3ea91d52efb9,baai_bge_embeddings,official_documentation,0,997
4dd0a863-b862-4bad-ab68-b7bc02bc4678,baai_bge_embeddings,official_documentation,1,852
43a0b4ac-41e6-4326-80a7-ee9301b20ba6,baai_bge_embeddings,release_notes,0,963
04896ad6-9606-4e54-983e-d0cae0a8b045,baai_bge_embeddings,release_notes,1,993
aa0d724b-c7f0-4e6e-844f-45a24ed07024,baai_bge_embeddings,release_notes,2,941
6be0b0b7-079e-48b8-a85b-a5f444826a91,baai_bge_embeddings,release_notes,3,986
d2359eee-ea86-42a9-ad0f-9489e9d1b7b1,baai_bge_embeddings,release_notes,4,993
b52fc619-ebdd-4709-ac00-a84fccad9f01,baai_bge_embeddings,release_notes,5,959
8356beb6-67b6-4eb4-a572-006ec08e2c00,baai_bge_embeddings,release_notes,6,979
a763234e-6152-42c5-a954-1a98901cc534,baai_bge_embeddings,release_notes,7,957
3c8028b2-bbe7-422a-9fef-07d9d43b4fa0,baai_bge_embeddings,release_notes,8,923
1300e7ed-1f01-45b2-b1d8-b624f427ad6e,baai_bge_embeddings,release_notes,9,973
74232e87-b167-4508-912d-76116aa3ccfe,baai_bge_embeddings,release_notes,10,592
3ea7e7f0-435b-455a-8a09-53f6bc0cf566,baai_bge_embeddings,release_notes,11,368
40fcccfd-845c-4c82-8c60-4a3e10cf5718,baai_bge_embeddings,research_papers,0,182
bcf90a84-7471-457e-85ab-3ddf094d41c2,baai_bge_embeddings,research_papers,1,940
18000aba-e5de-43e0-b013-74afee732606,baai_bge_embeddings,research_papers,2,221
57373642-618a-4add-8d7e-5a18ba55e5f9,baai_bge_embeddings,research_papers,3,302
4c693dae-0fdb-4994-83cc-29d3eb8dcebd,baai_bge_embeddings,research_papers,4,633
5c20dbef-45a9-4a2c-8dbd-79f6829d3b2a,baai_bge_embeddings,research_papers,5,710
46cec391-8611-4511-a037-d6b38d077823,bentoml,github_repository,0,893
6a6b7ce1-f1fd-4bdf-841a-c9ecc6f3451c,bentoml,github_repository,1,876
30472202-2f4f-43a1-825d-1f34f46dc2d8,bentoml,github_repository,2,946
0e56876a-8185-458c-867e-8fa4c8d2b215,bentoml,github_repository,3,961
3c15ceed-267e-4356-a293-ec14c96c2a0f,bentoml,github_repository,4,876
585b6517-fe01-4155-adac-d1dcf8d08841,bentoml,github_repository,5,867
6ed073a7-8491-4d89-8d11-0f0a52bae30e,bentoml,github_repository,6,644
df202cdf-166f-4c66-ac97-33b0fe8b0ef6,bentoml,official_documentation,0,750
dfa8f99b-e694-473a-bfbe-0c05178ebb14,bentoml,official_documentation,1,951
98ca3b1e-2677-4c77-8416-0ad4cb317adb,bentoml,official_documentation,2,631
c915d2ea-fda6-4318-80ba-acde85c87d29,bge_reranker,github_repository,0,832
955f53f0-a358-4abd-88b0-4d136478e2af,bge_reranker,github_repository,1,930
f434356b-c995-49af-ad07-a561357d5eda,bge_reranker,github_repository,2,856
e079fc38-b47f-4a38-8d52-97cbc97dedf5,bge_reranker,github_repository,3,888
1db28211-14d4-4605-8b00-1f6019efa743,bge_reranker,github_repository,4,957
14ff06cf-5cfb-41b5-a273-e68977d99f02,bge_reranker,github_repository,5,846
57979fd7-3a98-4c06-a4c3-ca55ef071f5e,bge_reranker,github_repository,6,968
949b4802-acb4-4f41-96f0-39167dfdb236,bge_reranker,github_repository,7,921
49466e64-2cdd-49bd-927f-87e07907865c,bge_reranker,github_repository,8,978
f35cf18c-b2d6-4ba8-bb3e-74bb4c152f5c,bge_reranker,github_repository,9,915
4c39e3e8-960a-4ebf-bd67-fee2fa6d03a7,bge_reranker,github_repository,10,962
ca6d2e58-4ddb-4b65-b978-8803da9e3fd8,bge_reranker,github_repository,11,991
da0a2bc2-2512-4f3b-9b5b-5ad9012af2ac,bge_reranker,github_repository,12,933
78d246d8-0cf4-49f3-bd77-baee490913c2,bge_reranker,github_repository,13,962
537c9091-725d-4383-8bdb-fd3da05219fb,bge_reranker,github_repository,14,929
56a5ec92-2a6a-4c5c-89d4-338133091298,bge_reranker,github_repository,15,627
cd16ae9b-dab8-46d3-971b-f2bd1bbfb006,bge_reranker,official_documentation,0,579
f14d2e41-21e8-4d67-81d6-39655962845f,bge_reranker,official_documentation,1,969
f0e03b64-3d57-482b-9ffb-fae9d574b1a8,bge_reranker,official_documentation,2,967
00a2bb30-6829-4882-8602-bd4f0bd285a8,bge_reranker,official_documentation,3,935
502eb7df-fb2c-4ef9-a1cc-e7afaa76d7a1,bge_reranker,official_documentation,4,992
e30332d7-2f9c-4608-80cb-5df7e8582a20,bge_reranker,official_documentation,5,825
f39f659a-952e-43bd-854f-5f803bd58f56,bge_reranker,official_documentation,6,992
a240bb6d-eeac-4bcd-b916-519360606b5f,bge_reranker,official_documentation,7,988
cd142d68-fc16-45d1-990e-c71fc8a91503,bge_reranker,official_documentation,8,983
cf440c25-4d89-4720-b329-75ef7ed39f04,bge_reranker,official_documentation,9,867
5d89a20c-dc25-401f-8bb0-675a334ef9c4,bge_reranker,official_documentation,10,999
f15403ed-b033-405b-8f81-9ba78df6cc52,bge_reranker,official_documentation,11,966
48b46ee1-b4bc-4b02-94d1-798b8d2e39ac,bge_reranker,official_documentation,12,999
fdc4e9bc-32e8-45a3-84df-390924aa6f56,bge_reranker,official_documentation,13,980
e7a0216c-647d-4ac6-9349-05e9cdd11b10,bge_reranker,official_documentation,14,981
fc35b4bf-35fc-4352-9cd4-5aafd6c75d9d,bge_reranker,official_documentation,15,994
f99ed465-3b44-4125-82b5-014c3da3e601,bge_reranker,official_documentation,16,985
d5497925-687e-47d7-9487-841ad0f0ea84,bge_reranker,research_papers,0,182
6129fbcb-9e70-4a66-9bf3-7a642ca75def,bge_reranker,research_papers,1,940
cf8af675-2350-4f10-b444-d8268e524052,bge_reranker,research_papers,2,221
0f7f4afa-8210-4f6d-8c70-7e283ac09004,bge_reranker,research_papers,3,302
8fab6faf-e0e7-4c75-b9e0-3c02be0c8827,bge_reranker,research_papers,4,633
365e1c4f-9c67-48b9-a127-29942abf168c,bge_reranker,research_papers,5,710
838cce30-ff34-4aea-b70c-a04db954c350,chain_of_thought_cot,research_papers,0,196
