technology,source,characters,path
lora,github_repository,10051,lora/github_repository.txt
lora,research_papers,2853,lora/research_papers.txt
meta_llama,benchmark_pages,18743,meta_llama/benchmark_pages.txt
meta_llama,github_repository,7761,meta_llama/github_repository.txt
meta_llama,official_documentation,33,meta_llama/official_documentation.txt
meta_llama,research_papers,2627,meta_llama/research_papers.txt
meta_llama,technical_blog,811,meta_llama/technical_blog.txt
milvus,community_resources,46,milvus/community_resources.txt
milvus,github_repository,10542,milvus/github_repository.txt
milvus,release_notes,37086,milvus/release_notes.txt
mistral,api_reference,6911,mistral/api_reference.txt
mistral,github_repository,12810,mistral/github_repository.txt
mistral,official_documentation,2752,mistral/official_documentation.txt
mistral,research_papers,2086,mistral/research_papers.txt
mistral,technical_blog,2006,mistral/technical_blog.txt
mlflow_evaluation,github_repository,5371,mlflow_evaluation/github_repository.txt
mlflow_evaluation,official_documentation,0,mlflow_evaluation/official_documentation.txt
mlserver,github_repository,4103,mlserver/github_repository.txt
mlserver,official_documentation,2842,mlserver/official_documentation.txt
modal,official_documentation,456,modal/official_documentation.txt
monot5,github_repository,8276,monot5/github_repository.txt
monot5,official_documentation,8276,monot5/official_documentation.txt
monot5,research_papers,2492,monot5/research_papers.txt
multi_query_retrieval,github_repository,3698,multi_query_retrieval/github_repository.txt
multi_query_retrieval,official_documentation,3698,multi_query_retrieval/official_documentation.txt
nomic_embed,github_repository,7449,nomic_embed/github_repository.txt
nomic_embed,official_documentation,1309,nomic_embed/official_documentation.txt
nomic_embed,release_notes,255,nomic_embed/release_notes.txt
nomic_embed,research_papers,2142,nomic_embed/research_papers.txt
nvidia_triton_inference_server,github_repository,7438,nvidia_triton_inference_server/github_repository.txt
nvidia_triton_inference_server,official_documentation,2987,nvidia_triton_inference_server/official_documentation.txt
ollama,github_repository,8454,ollama/github_repository.txt
ollama,official_documentation,8454,ollama/official_documentation.txt
one_shot_prompting,research_papers,3320,one_shot_prompting/research_papers.txt
openai_evals,github_repository,5293,openai_evals/github_repository.txt
openai_evals,official_documentation,5293,openai_evals/official_documentation.txt
openai_gpt,api_reference,5648,openai_gpt/api_reference.txt
openai_gpt,benchmark_pages,946721,openai_gpt/benchmark_pages.txt
openai_gpt,github_repository,27031,openai_gpt/github_repository.txt
openai_gpt,official_documentation,2721,openai_gpt/official_documentation.txt
openai_gpt,release_notes,28024,openai_gpt/release_notes.txt
openai_gpt,research_papers,2541,openai_gpt/research_papers.txt
paragraph_based_chunking,github_repository,3698,paragraph_based_chunking/github_repository.txt
